60  96148
61  99417
62  104382
63  110488
64  117018
65  122352
66  126106
67  131676
68  139984
69  143563
70  152839
71  156946
72  82945
73  86283
74  90287
75  92590
76  96457
77  98852
78  104213
79  107014
80  110205
81  114090
82  119561
83  124918
84  129427
85  78862
86  80809
87  82707
88  86488
89  89403
90  91550
91  95842
92  96834
93  100556
94  104501
95  107545
96  111138
97  114891
98  73234
99  74844
100  78018
101  79012
102  80037
103  84869
104  86329
105  88607
106  91221
107  93919
108  95845
109  97702
110  99640
111  67895
112  69281
113  71054
114  71266
115  73464
116  75750
117  77286
118  78929
119  79182
120  80346
